training 1st maze
0: loss=1.369, reward_mean=0.067, reward_bound=0.000, batch=1
1: loss=1.352, reward_mean=0.067, reward_bound=0.000, batch=2
2: loss=1.371, reward_mean=0.067, reward_bound=0.000, batch=3
3: loss=1.374, reward_mean=0.133, reward_bound=0.401, batch=5
4: loss=1.367, reward_mean=-0.067, reward_bound=0.134, batch=5
5: loss=1.352, reward_mean=0.200, reward_bound=0.809, batch=5
6: loss=1.338, reward_mean=0.133, reward_bound=0.834, batch=4
7: loss=1.358, reward_mean=0.000, reward_bound=0.400, batch=5
8: loss=1.317, reward_mean=0.133, reward_bound=0.825, batch=5
9: loss=1.368, reward_mean=0.333, reward_bound=0.868, batch=3
10: loss=1.326, reward_mean=0.067, reward_bound=0.000, batch=4
11: loss=1.346, reward_mean=0.067, reward_bound=0.786, batch=5
12: loss=1.395, reward_mean=0.467, reward_bound=0.886, batch=4
13: loss=1.381, reward_mean=0.000, reward_bound=0.434, batch=5
14: loss=1.364, reward_mean=0.200, reward_bound=0.904, batch=3
15: loss=1.327, reward_mean=0.000, reward_bound=0.000, batch=4
16: loss=1.357, reward_mean=0.400, reward_bound=0.868, batch=4
17: loss=1.356, reward_mean=0.133, reward_bound=0.904, batch=4
18: loss=1.357, reward_mean=0.333, reward_bound=0.913, batch=5
19: loss=1.346, reward_mean=0.067, reward_bound=0.731, batch=5
20: loss=1.319, reward_mean=0.200, reward_bound=0.922, batch=2
21: loss=1.303, reward_mean=0.200, reward_bound=0.851, batch=4
22: loss=1.321, reward_mean=0.067, reward_bound=0.868, batch=4
23: loss=1.319, reward_mean=0.400, reward_bound=0.913, batch=5
24: loss=1.307, reward_mean=0.000, reward_bound=0.231, batch=5
25: loss=1.289, reward_mean=0.333, reward_bound=0.922, batch=3
26: loss=1.281, reward_mean=0.200, reward_bound=0.899, batch=5
27: loss=1.272, reward_mean=0.133, reward_bound=0.827, batch=5
28: loss=1.259, reward_mean=0.333, reward_bound=0.909, batch=5
29: loss=1.248, reward_mean=0.067, reward_bound=0.909, batch=5
30: loss=1.240, reward_mean=0.067, reward_bound=0.922, batch=3
31: loss=1.227, reward_mean=0.333, reward_bound=0.918, batch=5
32: loss=1.220, reward_mean=0.400, reward_bound=0.922, batch=4
33: loss=1.232, reward_mean=0.200, reward_bound=0.860, batch=5
34: loss=1.203, reward_mean=0.200, reward_bound=0.886, batch=4
35: loss=1.214, reward_mean=0.467, reward_bound=1.215, batch=5
36: loss=1.208, reward_mean=0.200, reward_bound=1.015, batch=5
37: loss=1.202, reward_mean=0.200, reward_bound=1.015, batch=5
38: loss=1.196, reward_mean=0.200, reward_bound=1.069, batch=5
39: loss=1.191, reward_mean=0.133, reward_bound=1.055, batch=5
40: loss=1.186, reward_mean=0.467, reward_bound=1.212, batch=5
41: loss=1.254, reward_mean=0.333, reward_bound=1.515, batch=5
42: loss=1.252, reward_mean=0.600, reward_bound=1.515, batch=5
43: loss=1.250, reward_mean=0.333, reward_bound=1.049, batch=5
44: loss=1.247, reward_mean=0.333, reward_bound=1.076, batch=5
45: loss=1.243, reward_mean=0.267, reward_bound=1.386, batch=5
46: loss=1.239, reward_mean=0.600, reward_bound=1.346, batch=5
47: loss=1.234, reward_mean=0.400, reward_bound=1.448, batch=5
48: loss=1.229, reward_mean=0.400, reward_bound=1.036, batch=5
49: loss=1.210, reward_mean=0.467, reward_bound=1.538, batch=4
50: loss=1.223, reward_mean=0.600, reward_bound=1.434, batch=5
51: loss=1.218, reward_mean=0.333, reward_bound=1.455, batch=5
52: loss=1.180, reward_mean=0.600, reward_bound=1.500, batch=5
53: loss=1.183, reward_mean=0.667, reward_bound=1.577, batch=5
54: loss=1.178, reward_mean=0.267, reward_bound=1.065, batch=5
55: loss=1.173, reward_mean=0.800, reward_bound=1.531, batch=5
56: loss=1.168, reward_mean=0.333, reward_bound=1.092, batch=5
57: loss=1.147, reward_mean=0.600, reward_bound=1.610, batch=5
58: loss=1.168, reward_mean=1.000, reward_bound=1.634, batch=3
59: loss=1.134, reward_mean=0.267, reward_bound=0.776, batch=5
60: loss=1.136, reward_mean=0.733, reward_bound=1.406, batch=5
61: loss=1.126, reward_mean=0.800, reward_bound=1.667, batch=4
